file,line,type,commit,author,date,time,timezone,datetime,depth,length
resume\index.html,26,html,c2574536,djmans630,2025-01-10,18:55:20,-08:00,2025-01-10T18:55:20-08:00,0,34
resume\index.html,27,html,c2574536,djmans630,2025-01-10,18:55:20,-08:00,2025-01-10T18:55:20-08:00,0,4
resume\index.html,28,html,2b3c979b,djmans630,2025-01-10,19:30:32,-08:00,2025-01-10T19:30:32-08:00,0,8
resume\index.html,29,html,c2574536,djmans630,2025-01-10,18:55:20,-08:00,2025-01-10T18:55:20-08:00,0,18
resume\index.html,30,html,c2574536,djmans630,2025-01-10,18:55:20,-08:00,2025-01-10T18:55:20-08:00,0,34
resume\index.html,31,html,c2574536,djmans630,2025-01-10,18:55:20,-08:00,2025-01-10T18:55:20-08:00,0,67
resume\index.html,32,html,c2574536,djmans630,2025-01-10,18:55:20,-08:00,2025-01-10T18:55:20-08:00,0,723
resume\index.html,33,html,c2574536,djmans630,2025-01-10,18:55:20,-08:00,2025-01-10T18:55:20-08:00,0,38
resume\index.html,34,html,c2574536,djmans630,2025-01-10,18:55:20,-08:00,2025-01-10T18:55:20-08:00,0,67
resume\index.html,35,html,c2574536,djmans630,2025-01-10,18:55:20,-08:00,2025-01-10T18:55:20-08:00,0,495
resume\index.html,36,html,c2574536,djmans630,2025-01-10,18:55:20,-08:00,2025-01-10T18:55:20-08:00,0,28
resume\index.html,37,html,c2574536,djmans630,2025-01-10,18:55:20,-08:00,2025-01-10T18:55:20-08:00,0,67
resume\index.html,38,html,c2574536,djmans630,2025-01-10,18:55:20,-08:00,2025-01-10T18:55:20-08:00,0,124
resume\index.html,39,html,c2574536,djmans630,2025-01-10,18:55:20,-08:00,2025-01-10T18:55:20-08:00,0,9
resume\index.html,40,html,2b3c979b,djmans630,2025-01-10,19:30:32,-08:00,2025-01-10T19:30:32-08:00,0,8
resume\index.html,41,html,c2574536,djmans630,2025-01-10,18:55:20,-08:00,2025-01-10T18:55:20-08:00,0,17
resume\index.html,42,html,c2574536,djmans630,2025-01-10,18:55:20,-08:00,2025-01-10T18:55:20-08:00,0,64
resume\index.html,43,html,c2574536,djmans630,2025-01-10,18:55:20,-08:00,2025-01-10T18:55:20-08:00,0,66
resume\index.html,44,html,c2574536,djmans630,2025-01-10,18:55:20,-08:00,2025-01-10T18:55:20-08:00,0,616
resume\index.html,45,html,c2574536,djmans630,2025-01-10,18:55:20,-08:00,2025-01-10T18:55:20-08:00,0,54
resume\index.html,46,html,c2574536,djmans630,2025-01-10,18:55:20,-08:00,2025-01-10T18:55:20-08:00,0,67
resume\index.html,47,html,c2574536,djmans630,2025-01-10,18:55:20,-08:00,2025-01-10T18:55:20-08:00,0,173
resume\index.html,48,html,c2574536,djmans630,2025-01-10,18:55:20,-08:00,2025-01-10T18:55:20-08:00,0,191
resume\index.html,49,html,c2574536,djmans630,2025-01-10,18:55:20,-08:00,2025-01-10T18:55:20-08:00,0,9
resume\index.html,50,html,450ad41e,djmans630,2025-01-10,18:12:27,-08:00,2025-01-10T18:12:27-08:00,0,6
resume\index.html,51,html,450ad41e,djmans630,2025-01-10,18:12:27,-08:00,2025-01-10T18:12:27-08:00,0,6
projects\style.css,1,css,0e80903b,djmans630,2025-01-17,20:36:24,-08:00,2025-01-17T20:36:24-08:00,0,9
projects\style.css,2,css,0e80903b,djmans630,2025-01-17,20:36:24,-08:00,2025-01-17T20:36:24-08:00,0,13
projects\style.css,3,css,0e80903b,djmans630,2025-01-17,20:36:24,-08:00,2025-01-17T20:36:24-08:00,0,59
projects\style.css,4,css,0e80903b,djmans630,2025-01-17,20:36:24,-08:00,2025-01-17T20:36:24-08:00,0,0
projects\style.css,5,css,0e80903b,djmans630,2025-01-17,20:36:24,-08:00,2025-01-17T20:36:24-08:00,0,0
projects\style.css,6,css,0e80903b,djmans630,2025-01-17,20:36:24,-08:00,2025-01-17T20:36:24-08:00,0,0
projects\style.css,7,css,0e80903b,djmans630,2025-01-17,20:36:24,-08:00,2025-01-17T20:36:24-08:00,0,7
projects\style.css,8,css,0e80903b,djmans630,2025-01-17,20:36:24,-08:00,2025-01-17T20:36:24-08:00,0,27
projects\style.css,9,css,0e80903b,djmans630,2025-01-17,20:36:24,-08:00,2025-01-17T20:36:24-08:00,0,16
projects\style.css,10,css,0e80903b,djmans630,2025-01-17,20:36:24,-08:00,2025-01-17T20:36:24-08:00,0,8
projects\style.css,11,css,0e80903b,djmans630,2025-01-17,20:36:24,-08:00,2025-01-17T20:36:24-08:00,0,0
projects\style.css,12,css,0e80903b,djmans630,2025-01-17,20:36:24,-08:00,2025-01-17T20:36:24-08:00,0,0
projects\style.css,13,css,0e80903b,djmans630,2025-01-17,20:36:24,-08:00,2025-01-17T20:36:24-08:00,0,2
projects\style.css,14,css,0e80903b,djmans630,2025-01-17,20:36:24,-08:00,2025-01-17T20:36:24-08:00,0,9
projects\style.css,15,css,0e80903b,djmans630,2025-01-17,20:36:24,-08:00,2025-01-17T20:36:24-08:00,0,16
projects\style.css,16,css,73f1ebf9,djmans630,2025-01-17,20:37:23,-08:00,2025-01-17T20:37:23-08:00,0,18
projects\style.css,17,css,0e80903b,djmans630,2025-01-17,20:36:24,-08:00,2025-01-17T20:36:24-08:00,0,0
projects\style.css,18,css,0e80903b,djmans630,2025-01-17,20:36:24,-08:00,2025-01-17T20:36:24-08:00,0,0
projects\style.css,19,css,0e80903b,djmans630,2025-01-17,20:36:24,-08:00,2025-01-17T20:36:24-08:00,0,2
projects\style.css,20,css,0e80903b,djmans630,2025-01-17,20:36:24,-08:00,2025-01-17T20:36:24-08:00,0,15
projects\style.css,21,css,0e80903b,djmans630,2025-01-17,20:36:24,-08:00,2025-01-17T20:36:24-08:00,0,16
projects\style.css,22,css,73f1ebf9,djmans630,2025-01-17,20:37:23,-08:00,2025-01-17T20:37:23-08:00,0,18
projects\style.css,23,css,8bdf0928,djmans630,2025-01-17,20:39:05,-08:00,2025-01-17T20:39:05-08:00,0,0
projects\style.css,24,css,8bdf0928,djmans630,2025-01-17,20:39:05,-08:00,2025-01-17T20:39:05-08:00,0,0
projects\style.css,25,css,8bdf0928,djmans630,2025-01-17,20:39:05,-08:00,2025-01-17T20:39:05-08:00,0,5
projects\style.css,26,css,8bdf0928,djmans630,2025-01-17,20:39:05,-08:00,2025-01-17T20:39:05-08:00,0,44
projects\style.css,27,css,8bdf0928,djmans630,2025-01-17,20:39:05,-08:00,2025-01-17T20:39:05-08:00,0,43
projects\style.css,28,css,8bdf0928,djmans630,2025-01-17,20:39:05,-08:00,2025-01-17T20:39:05-08:00,0,1
projects\style.css,29,css,8bdf0928,djmans630,2025-01-17,20:39:05,-08:00,2025-01-17T20:39:05-08:00,0,24
projects\style.css,30,css,8bdf0928,djmans630,2025-01-17,20:39:05,-08:00,2025-01-17T20:39:05-08:00,0,16
projects\style.css,31,css,8bdf0928,djmans630,2025-01-17,20:39:05,-08:00,2025-01-17T20:39:05-08:00,0,19
projects\style.css,32,css,8bdf0928,djmans630,2025-01-17,20:39:05,-08:00,2025-01-17T20:39:05-08:00,0,13
projects\style.css,33,css,8bdf0928,djmans630,2025-01-17,20:39:05,-08:00,2025-01-17T20:39:05-08:00,0,0
projects\style.css,34,css,8bdf0928,djmans630,2025-01-17,20:39:05,-08:00,2025-01-17T20:39:05-08:00,0,0
projects\style.css,35,css,8bdf0928,djmans630,2025-01-17,20:39:05,-08:00,2025-01-17T20:39:05-08:00,0,2
projects\style.css,36,css,8bdf0928,djmans630,2025-01-17,20:39:05,-08:00,2025-01-17T20:39:05-08:00,0,8
projects\style.css,37,css,8bdf0928,djmans630,2025-01-17,20:39:05,-08:00,2025-01-17T20:39:05-08:00,0,17
projects\style.css,38,css,8bdf0928,djmans630,2025-01-17,20:39:05,-08:00,2025-01-17T20:39:05-08:00,0,0
projects\style.css,39,css,8bdf0928,djmans630,2025-01-17,20:39:05,-08:00,2025-01-17T20:39:05-08:00,0,0
projects\style.css,40,css,8bdf0928,djmans630,2025-01-17,20:39:05,-08:00,2025-01-17T20:39:05-08:00,0,4
projects\style.css,41,css,d82ec410,djmans630,2025-01-24,20:09:30,-08:00,2025-01-24T20:09:30-08:00,0,40
projects\style.css,42,css,8bdf0928,djmans630,2025-01-17,20:39:05,-08:00,2025-01-17T20:39:05-08:00,0,13
projects\style.css,43,css,8bdf0928,djmans630,2025-01-17,20:39:05,-08:00,2025-01-17T20:39:05-08:00,0,21
projects\style.css,44,css,8bdf0928,djmans630,2025-01-17,20:39:05,-08:00,2025-01-17T20:39:05-08:00,0,14
projects\style.css,45,css,8bdf0928,djmans630,2025-01-17,20:39:05,-08:00,2025-01-17T20:39:05-08:00,0,18
